
EMP_NO  	EMP_PW  	EMP_NAME  	EMP_LEVEL  	MANAGER  	DEPT  	MAX_LEAVE  	CUR_LEAVE  
1	1234	김대표		5		Y		경영지원팀	15		15
2	1234	이인사		4		N		경영지원팀	15		15
3	1234	박개발		3		N		개발팀		15		15
4	1234	최대리		2		N		개발팀		15		15
5	1234	정사원		3		N		기획팀		15		15
7	1234	조대리		2		N		기획팀		15		15
8	1234	윤재무		4		N		재무팀		15		15
9	1234	한보안		3		N		개발팀		15		15
10	1234	고마켓		2		N		영업팀		15		15
11	1234	송사원		1		N		개발팀		15		15
12	1234	배연구		3		N		기획팀		15		15
13	1234	신영업		2		N		영업팀		15		15
14	1234	유법무		4		N		경영지원팀	15		15
15	1234	권사업		3		N		기획팀		15		15
16	1234	황인프		2		N		개발팀		15		15
17	1234	안총무		1		N		경영지원팀	15		15
18	1234	홍글로		3		N		영업팀		15		15
19	1234	백회계		2		N		재무팀		15		15
20	1234	서정산		1		N		재무팀		15		15
